"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"The role of human disturbance in the local Late Holocene establishment of Fagus and Picea forests at Flahult, Western Sm<U+FFFD>land, Southern Sweden","Early-Holocene vegetation and the human impact in central Provence (Var, France): charcoal analysis of the Baume de Fontbregoua","Mid- and late-Holocene vegetation history and tephra studies at Fenton Cottage, Lancashire, U.K.","Late-glacial and early Holocene climatic events and chronology of vegetation development in the Netherlands","Archaeological and environmental evidence for Roman impact on vegetation near Carlisle, Cumbria: a comment on McCarthy","The role of human disturbance in the local Late Holocene establishment of Fagus and Picea forests at Flahult, Western Sm<U+FFFD>land, Southern Sweden","Early-Holocene vegetation and the human impact in central Provence (Var, France): charcoal analysis of the Baume de Fontbregoua","Mid- and late-Holocene vegetation history and tephra studies at Fenton Cottage, Lancashire, U.K.","Late-glacial and early Holocene climatic events and chronology of vegetation development in the Netherlands"
"Late quaternary environmental changes in the upper Las Vegas valley, Nevada","Late quaternary environmental history of the southern Levant","Mastodon-bearing springs and late Quaternary geochronology of the lower Pomme de Terre Valley, Missouri","Late Weichselian glaciation and deglaciation in Scandinavia","Late Holocene tectonic movements at Akhziv, Mediterranean coastline of northern Israel","Late quaternary environmental changes in the upper Las Vegas valley, Nevada","Late quaternary environmental history of the southern Levant","Mastodon-bearing springs and late Quaternary geochronology of the lower Pomme de Terre Valley, Missouri","Late Weichselian glaciation and deglaciation in Scandinavia"
"Terrestrial fossils in the marine Presumpscot Formation: implications for Late Wisconsinan paleoenvironments and isostatic rebound along the coast of Maine","Evidence against a late Wisconsinan ice shelf in the Gulf of Maine","Autochthonous block fields in southern Norway: Implications for the geometry, thickness, and isostatic loading of the Late Weichselian Scandinavian ice sheet","Impact of human activity on marine habitats along the Red Sea coast of Saudi Arabia","Late Glacial and Holocene Diatom Successions in the Gulf of Maine: Response to Climatologic and Oceanographic Change","Terrestrial fossils in the marine Presumpscot Formation: implications for Late Wisconsinan paleoenvironments and isostatic rebound along the coast of Maine","Evidence against a late Wisconsinan ice shelf in the Gulf of Maine","Autochthonous block fields in southern Norway: Implications for the geometry, thickness, and isostatic loading of the Late Weichselian Scandinavian ice sheet","Impact of human activity on marine habitats along the Red Sea coast of Saudi Arabia"
"The Vegetational History of Mt Wilhelm, Papua New Guinea","Note on birds breeding above 3,215 metres on Mt Wilhelm, Papua New Guinea","Papua New Guinea Review","ESSENTIAL TREMOR IN PAPUA NEW GUINEA","Association of Surveyors of Papua New Guinea","The Vegetational History of Mt Wilhelm, Papua New Guinea","Note on birds breeding above 3,215 metres on Mt Wilhelm, Papua New Guinea","Papua New Guinea Review","ESSENTIAL TREMOR IN PAPUA NEW GUINEA"
"A New Species of Hypserpa (Menispermaceae) from New Caledonia","New genera of Copepoda (Poecilostomatoida) from the scleractinian coral Psammocora in New Caledonia","Potential role of environmental and domestic exposure to tremolite in pleural cancer in New Caledonia","Skeletal composition of modern lagoon sediments in New Caledonia: Coral, a minor constituent","Alkaloids from the Medicinal Plants of New Caledonia","A New Species of Hypserpa (Menispermaceae) from New Caledonia","New genera of Copepoda (Poecilostomatoida) from the scleractinian coral Psammocora in New Caledonia","Potential role of environmental and domestic exposure to tremolite in pleural cancer in New Caledonia","Skeletal composition of modern lagoon sediments in New Caledonia: Coral, a minor constituent"
"Notes on the Distributions of Herbaceous Angiosperm Species in the Mountains of New Guinea","Geochronology of late Tertiary and Quaternary mineralized intrusive porphyries in the Star Mountains of Papua New Guinea and Irian Jaya","An observation on glaciation in the Watkins Mountains, east Greenland","Die Vegetation des Mecsecgebirges und seiner Umgebung (Vegetation of the Mecsec Mountains and Their Environs)","Glaciation Limit in New Zealand's Southern Alps","Notes on the Distributions of Herbaceous Angiosperm Species in the Mountains of New Guinea","Geochronology of late Tertiary and Quaternary mineralized intrusive porphyries in the Star Mountains of Papua New Guinea and Irian Jaya","An observation on glaciation in the Watkins Mountains, east Greenland","Die Vegetation des Mecsecgebirges und seiner Umgebung (Vegetation of the Mecsec Mountains and Their Environs)"
"Climatic trends from isotopic records of tree rings: The past 100?200 years","Climate changes in the Atlantic Sector of Antarctica over The Past 500 Years from Ice-Core and Other Evidence","Editor's note","Book review","Editorial comment","Climatic trends from isotopic records of tree rings: The past 100?200 years","Climate changes in the Atlantic Sector of Antarctica over The Past 500 Years from Ice-Core and Other Evidence","Editor's note","Book review"
"The Overmyer Mastodon (Mammut Americanum) from Fulton County, Indiana","Comment on ""Protein Sequences from Mastodon and Tyrannosaurus rex Revealed by Mass Spectrometry""","Combined Pathological Effects of Cocaine Abuse and HIV Infection on the Cardiovascular System","Response to Comment on ""Protein Sequences from Mastodon and Tyrannosaurus rex Revealed by Mass Spectrometry""","Response to Comment on ""Protein Sequences from Mastodon and Tyrannosaurus rex Revealed by Mass Spectrometry""","The Overmyer Mastodon (Mammut Americanum) from Fulton County, Indiana","Comment on ""Protein Sequences from Mastodon and Tyrannosaurus rex Revealed by Mass Spectrometry""","Combined Pathological Effects of Cocaine Abuse and HIV Infection on the Cardiovascular System","Response to Comment on ""Protein Sequences from Mastodon and Tyrannosaurus rex Revealed by Mass Spectrometry"""
"Use of Environmentally Acceptable Invert Oil Emulsion Mud in SSB/SSPC","Use of Compositional Simulation in the Management of Arun Gas Condensate Reservoir","Some Comments on Feminism and the Left in South Asia","Horizontal Wells Cut Offshore Production Costs","Enhanced Oil Recovery in Malaysia","Use of Environmentally Acceptable Invert Oil Emulsion Mud in SSB/SSPC","Use of Compositional Simulation in the Management of Arun Gas Condensate Reservoir","Some Comments on Feminism and the Left in South Asia","Horizontal Wells Cut Offshore Production Costs"
"Late Quaternary change in the mountains of New Guinea","The vertical dimensions of Late Devensian glaciation on the mountains of Harris and southeast Lewis, Outer Hebrides, Scotland","Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada","<U+30D1><U+30D7><U+30A2><U+30CB><U+30E5><U+30FC><U+30AE><U+30CB><U+30A2><U+5317><U+6771><U+90E8><U+306E><U+30B5><U+30F3><U+30B4><U+7901><U+6BB5><U+4E18><U+306E><U+7DCF><U+5408><U+7814><U+7A76> <U+30D1><U+30D7><U+30A2><U+30CB><U+30E5><U+30FC><U+30AE><U+30CB><U+30A2>,<U+30D2><U+30E5><U+30F3><U+30AA><U+30F3><U+534A><U+5CF6><U+306E><U+30B5><U+30F3><U+30B4><U+7901><U+6BB5><U+4E18><U+306B><U+8A18><U+9332><U+3055><U+308C><U+305F><U+7B2C><U+56DB><U+7D00><U+5F8C><U+671F>(52ka<U+4EE5><U+964D>)<U+306E><U+5730><U+9707><U+9686><U+8D77>","Coral Terraces on the Huon Peninsula, North Eastern Papua New Guinea. Late Quaternary Coseismic Uplift, Analysed by Coral Terraces of the Huon Peninsula, Papua New Guinea.","<U+30D1><U+30D7><U+30A2><U+30CB><U+30E5><U+30FC><U+30AE><U+30CB><U+30A2><U+5317><U+6771><U+90E8><U+306E><U+30B5><U+30F3><U+30B4><U+7901><U+6BB5><U+4E18><U+306E><U+7DCF><U+5408><U+7814><U+7A76> <U+30D1><U+30D7><U+30A2><U+30CB><U+30E5><U+30FC><U+30AE><U+30CB><U+30A2>,<U+30D2><U+30E5><U+30AA><U+30F3><U+534A><U+5CF6><U+306E><U+53E4><U+5D29><U+58CA><U+5730><U+306E><U+5E74><U+4EE3>·<U+5206><U+5E03>·<U+5F62><U+6210><U+904E><U+7A0B><U+306B><U+95A2><U+3059><U+308B><U+7814><U+7A76>","Coral Terraces on the Huon Peninsula, North Eastern Papua New Guinea. Distribution and Genesis of Large-scale Late Quaternary Landslides Disrupting Coral Terraces at Huon Peninsula, Papua New Guinea.","Late Quaternary change in the mountains of New Guinea","The vertical dimensions of Late Devensian glaciation on the mountains of Harris and southeast Lewis, Outer Hebrides, Scotland"
"SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments","SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments","SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments","SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments","SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments","SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments","SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments","SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments","SCAR-INQUA Symposium on Antarctic Glacial Evolution and World Palaeoenvironments"
"Late-glacial climate and ecology of a kettle section at Brampton, Ontario, Canada, as determined from fossil Coleoptera","Late Wisconsinan sub-glacial clastic intrusive sheets along Lake Erie bluffs, at Bradtville, Ontario, Canada","Late-glacial (Allerod) Coleoptera from Joggins, Lantz and Blomidon, central Nova Scotia, Canada","Late-glacial (Allerød – Younger Dryas) Coleoptera from central Cape Breton Island, Nova Scotia, Canada","Late glacial climate in northern Eurasia: The last climatic cycle","Late-glacial climate and ecology of a kettle section at Brampton, Ontario, Canada, as determined from fossil Coleoptera","Late Wisconsinan sub-glacial clastic intrusive sheets along Lake Erie bluffs, at Bradtville, Ontario, Canada","Late-glacial (Allerod) Coleoptera from Joggins, Lantz and Blomidon, central Nova Scotia, Canada","Late-glacial (Allerød – Younger Dryas) Coleoptera from central Cape Breton Island, Nova Scotia, Canada"
"Late Pleistocene Snapping Turtles (Chelydra serpentina) from Southern Nevada","New Records of Late Pleistocene Vertebrates from the Southern End of Lake Michigan","Paleoclimatic significance of late Pleistocene ice-wedge casts in Southern Quebec, Canada","Notes on Topography, Climate, and Vegetation of Madagascar","Diversity of recent planktonic foraminifera in the southern Indian Ocean and Late Pleistocene paleotemperatures","Late Pleistocene Snapping Turtles (Chelydra serpentina) from Southern Nevada","New Records of Late Pleistocene Vertebrates from the Southern End of Lake Michigan","Paleoclimatic significance of late Pleistocene ice-wedge casts in Southern Quebec, Canada","Notes on Topography, Climate, and Vegetation of Madagascar"
"Late Holocene pollen stratigraphy of Lake Louise, Manitoba","Late Weichselian pollen stratigraphy, clay varve chronology and palaeomagnetic secular variations in Lake Bolmen, Småland, south Sweden","A Late Pleistocene and Holocene pollen and charcoal record from peat swamp forest, Lake Sentarum Wildlife Reserve, West Kalimantan, Indonesia","Holocene Monsoon Changes Inferred from Lake Sediment Pollen and Carbonate Records, Northeastern Cambodia","Late-Glacial and Early Holocene Vegetation and Climate Change near Owens Lake, Eastern California","Late Holocene pollen stratigraphy of Lake Louise, Manitoba","Late Weichselian pollen stratigraphy, clay varve chronology and palaeomagnetic secular variations in Lake Bolmen, Småland, south Sweden","A Late Pleistocene and Holocene pollen and charcoal record from peat swamp forest, Lake Sentarum Wildlife Reserve, West Kalimantan, Indonesia","Holocene Monsoon Changes Inferred from Lake Sediment Pollen and Carbonate Records, Northeastern Cambodia"
"High-resolution pollen analysis of tundra polygons from the North Slope of Alaska","Characteristics of energy and water budgets over wet sedge and tussock tundra ecosystems at North Slope in Alaska","Abstract: Seismic Stratigraphy of Depositional Sequences: High Resolution Images from a Passive Margin Slope Setting, Offshore West Africa","Characteristics of energy and water budgets over wet sedge and tussock tundra ecosystems at North Slope in Alaska","The character and bioactivity of dissolved organic matter at thaw and in the spring runoff waters of the arctic tundra North Slope, Alaska","High-resolution pollen analysis of tundra polygons from the North Slope of Alaska","Characteristics of energy and water budgets over wet sedge and tussock tundra ecosystems at North Slope in Alaska","Abstract: Seismic Stratigraphy of Depositional Sequences: High Resolution Images from a Passive Margin Slope Setting, Offshore West Africa","Characteristics of energy and water budgets over wet sedge and tussock tundra ecosystems at North Slope in Alaska"
"Market Data Resources for Researchers: The SIRCA Data Repository","The Paradox of Transparency, Short-Termism and the Institutionalisation of Australian Capital Markets","INNER WHEEL OR INNER SANCTUM","Capital Markets Regulation: How Can Accounting Research Contribute?","Cuba: Religion, Social Capital, and Development","Market Data Resources for Researchers: The SIRCA Data Repository","The Paradox of Transparency, Short-Termism and the Institutionalisation of Australian Capital Markets","INNER WHEEL OR INNER SANCTUM","Capital Markets Regulation: How Can Accounting Research Contribute?"
"Editorial Board","Editorial Board","Diane Barwick 1938–1986","Daughters Of The Imaginary","Stanner On Aboriginal Religion","Editorial Board","Editorial Board","Diane Barwick 1938–1986","Daughters Of The Imaginary"
"Paleoecology of a Northern Michigan Lake and the Relationship among Climate, Vegetation, and Great Lakes Water Levels","The Potential Influence of Climate Change on Offshore Primary Production in Lake Michigan","Lake Michigan 1994–1996 Surficial Sediment Mercury","Seasonal Dynamics of PCB and Toxaphene Bioaccumulation within a Lake Michigan Food Web","Water Quality Modeling of Caged Aquaculture Impacts in Lake Wolsey, North Channel of Lake Huron","Paleoecology of a Northern Michigan Lake and the Relationship among Climate, Vegetation, and Great Lakes Water Levels","The Potential Influence of Climate Change on Offshore Primary Production in Lake Michigan","Lake Michigan 1994–1996 Surficial Sediment Mercury","Seasonal Dynamics of PCB and Toxaphene Bioaccumulation within a Lake Michigan Food Web"
"The Holocene vegetation history of Isle Royale National Park, Michigan, U.S.A.","Factors affecting enhanced mercury bioaccumulation in inland lakes of Isle Royale National Park, USA","Middle to Late Holocene vegetation history of the Upper Engadine (Swiss Alps): the role of man and fire","Indonesia","Vegetation around Tiga Warna Lake, Kelimutu National Park, Ende, Flores, East Nusa Tenggara","Abrupt vegetation changes during the last glacial to Holocene transition in mid-latitude South America","The Holocene vegetation history of Isle Royale National Park, Michigan, U.S.A.","Factors affecting enhanced mercury bioaccumulation in inland lakes of Isle Royale National Park, USA","Middle to Late Holocene vegetation history of the Upper Engadine (Swiss Alps): the role of man and fire"
"A fire-driven shift from forest to non-forest: evidence for alternative stable states?","L'avantage salarial des diplômés de l'enseignement postsecondaire est stable","Alternative fire-driven vegetation states","Cas où le recours aux contrats de travail non permanents est justifié","Institutions in rural land transactions","A fire-driven shift from forest to non-forest: evidence for alternative stable states?","L'avantage salarial des diplômés de l'enseignement postsecondaire est stable","Alternative fire-driven vegetation states","Cas où le recours aux contrats de travail non permanents est justifié"
"Climate change and fire effects on a prairie-woodland ecotone: projecting species range shifts with a dynamic global vegetation model","Late Holocene vegetation and fire dynamics from a savanna-forest ecotone in Roraima state, northern Brazilian Amazon","Holocene vegetation, fire and climate interactions on the westernmost fringe of the Mediterranean Basin","The charcoal record in peat and mineral soil across a boreal landscape and possible linkages to climate change and recent fire history","Holocene climate, fire and vegetation dynamics at the treeline in the Northwestern Swiss Alps","Climate change and fire effects on a prairie-woodland ecotone: projecting species range shifts with a dynamic global vegetation model","Late Holocene vegetation and fire dynamics from a savanna-forest ecotone in Roraima state, northern Brazilian Amazon","Holocene vegetation, fire and climate interactions on the westernmost fringe of the Mediterranean Basin","The charcoal record in peat and mineral soil across a boreal landscape and possible linkages to climate change and recent fire history"
"Late holocene hydrological history of Lake Tanganyika, East Africa, from isotopic data on fossil stromatolites","Chronology and paleohydrology of late Quaternary high lake levels in the Manyara basin (Tanzania) from isotopic data (18O, 13C, 14C, ) on fossil stromatolites","Bidirectional sulfate diffusion in saline-lake sediments: Evidence from Devils Lake, northeast North Dakota","Population Dispersion and Sequential Count Plans for the Bean Leaf Beetle (Coleoptera: Chrysomelidae) on Soybean During Late Season","An opportunistic trace fossil assemblage from the flysch of the Inoceramian beds (Campanian-Palaeocene), Bystrica Zone of the Magura Nappe, Carpathians, Poland","Late holocene hydrological history of Lake Tanganyika, East Africa, from isotopic data on fossil stromatolites","Chronology and paleohydrology of late Quaternary high lake levels in the Manyara basin (Tanzania) from isotopic data (18O, 13C, 14C, ) on fossil stromatolites","Bidirectional sulfate diffusion in saline-lake sediments: Evidence from Devils Lake, northeast North Dakota","Population Dispersion and Sequential Count Plans for the Bean Leaf Beetle (Coleoptera: Chrysomelidae) on Soybean During Late Season"
"Vegetation and fire history since the Late Pleistocene from the Trinity Mountains, northwestern California, USA","Postglacial vegetation, fire, and climate history of the Siskiyou Mountains, Oregon, USA","Late Ordovician vertebrates from the Bighorn Mountains of Wyoming, USA","Holocene forest development in the central Scandes Mountains, Sweden","Late Pleistocene and Holocene climate and geomorphic histories as interpreted from a 23,000 14C yr B.P. paleosol and floodplain soils, southeastern West Virginia, USA","Vegetation and fire history since the Late Pleistocene from the Trinity Mountains, northwestern California, USA","Postglacial vegetation, fire, and climate history of the Siskiyou Mountains, Oregon, USA","Late Ordovician vertebrates from the Bighorn Mountains of Wyoming, USA","Holocene forest development in the central Scandes Mountains, Sweden"
"Holocene fossil beetles from a treeline peatland in subarctic Quebec","Late-Holocene light-ring chronologies from subfossil black spruce stems in mires of subarctic Quebec","Pollen evidence of Late Holocene treeline fluctuation from the southern Coast Mountains, British Columbia","Holocene tree migration rates objectively determined from fossil pollen data","Ice-flood history reconstructed with tree- rings from the southern boreal forest limit, western Quebec","Holocene fossil beetles from a treeline peatland in subarctic Quebec","Late-Holocene light-ring chronologies from subfossil black spruce stems in mires of subarctic Quebec","Pollen evidence of Late Holocene treeline fluctuation from the southern Coast Mountains, British Columbia","Holocene tree migration rates objectively determined from fossil pollen data"
"A reconstruction of Moorhead and Emerson Phase environments along the eastern margin of glacial Lake Agassiz, Rainy River basin, northwestern Ontario","Diamictic sediments within high Arctic lake sediment cores: evidence for lake ice rafting along the lateral glacial margin","Revised stratigraphy and sedimentology of the Paleoproterozoic Dubawnt Supergroup at the northern margin of Baker Lake Basin, Nunavut","Late Cenozoic geology, Ancient Pacific Margin NATMAP Project, report 2: survey of placer-gravel lithology and exploration of glacial limits along the Yukon and Stewart rivers, Yukon Territory","Abstract: Variation of Modern Turbidite Systems Along the Subduction Zone Margin of Cascadia Basin: Implications for Turbidite Reservoir Modeling","A reconstruction of Moorhead and Emerson Phase environments along the eastern margin of glacial Lake Agassiz, Rainy River basin, northwestern Ontario","Diamictic sediments within high Arctic lake sediment cores: evidence for lake ice rafting along the lateral glacial margin","Revised stratigraphy and sedimentology of the Paleoproterozoic Dubawnt Supergroup at the northern margin of Baker Lake Basin, Nunavut","Late Cenozoic geology, Ancient Pacific Margin NATMAP Project, report 2: survey of placer-gravel lithology and exploration of glacial limits along the Yukon and Stewart rivers, Yukon Territory"
"Climate change and human rights","Using a Regional Tourism Adaptation Framework to Determine Climate Change Adaptation Options for Victoria's Surf Coast","Climate Change Issues on the Pacific Islands: An Overview","Changes in the onset and intensity of wind-driven upwelling and downwelling along the North American Pacific coast","Climate Change and Human Rights","Climate change and human rights","Using a Regional Tourism Adaptation Framework to Determine Climate Change Adaptation Options for Victoria's Surf Coast","Climate Change Issues on the Pacific Islands: An Overview","Changes in the onset and intensity of wind-driven upwelling and downwelling along the North American Pacific coast"
"Revision of the Late Miocene, Pliocene and Pleistocene Sequence Cycles","Late Pliocene Oldowan excavations at Kanjera South, Kenya","Late Pliocene–early Pleistocene paleoceanographic evolution of the Sea of Japan","Late Pliocene dinoflagellate cyst and diatom analysis from a high resolution sequence in DSDP Site 594, Chatham Rise, south west Pacific"," Bioerosion in pliocene to late holocene tests of benthic and planktonic foraminiferans, with a revision of the ichnogenera oichnus and tremichnus ","Revision of the Late Miocene, Pliocene and Pleistocene Sequence Cycles","Late Pliocene Oldowan excavations at Kanjera South, Kenya","Late Pliocene–early Pleistocene paleoceanographic evolution of the Sea of Japan","Late Pliocene dinoflagellate cyst and diatom analysis from a high resolution sequence in DSDP Site 594, Chatham Rise, south west Pacific"
"Late-glacial Coleoptera fauna from Lismore, Nova Scotia","Radiocarbon Chronology of Late Quaternary Sections On the Inner and Middle Scotian Shelf, South of Nova Scotia","Gibellula pulchra from a Spider (Salticidae) in Nova Scotia, Canada","The late-glacial/holocene Bosmina (Eubosmina) fauna of Lake Constance (Untersee) (F.R.G.): traces of introgressive hybridization","The late-glacial/holocene Bosmina (Eubosmina) fauna of Lake Constance (Untersee) (F.R.G.): traces of introgressive hybridization","Late-glacial Coleoptera fauna from Lismore, Nova Scotia","Radiocarbon Chronology of Late Quaternary Sections On the Inner and Middle Scotian Shelf, South of Nova Scotia","Gibellula pulchra from a Spider (Salticidae) in Nova Scotia, Canada","The late-glacial/holocene Bosmina (Eubosmina) fauna of Lake Constance (Untersee) (F.R.G.): traces of introgressive hybridization"
"Sangamonian Forest History and Climate in Atlantic Canada","Development of direct-drilling systems for sandy loam soils in the cool humid climate of Atlantic Canada","Current research, part B, eastern and Atlantic Canada","Twenty-Eighth International Atlantic Economic Society Conference October 5–8, 1989 Montreal, Canada","Business climate and measured poverty: The evidence across states","Sangamonian Forest History and Climate in Atlantic Canada","Development of direct-drilling systems for sandy loam soils in the cool humid climate of Atlantic Canada","Current research, part B, eastern and Atlantic Canada","Twenty-Eighth International Atlantic Economic Society Conference October 5–8, 1989 Montreal, Canada"
"Late-glacial climate in the Maritimes Region, Canada, reconstructed from mutual climatic range analysis of fossil Coleoptera","The Younger Dryas cold interval as viewed from central Greenland","Fine-resolution pollen record of late-glacial climate reversal from New Zealand","Climate-induced variations in productivity and planktonic ecosystem structure from the Younger Dryas to Holocene in the Cariaco Basin, Venezuela","Climate-induced variations in productivity and planktonic ecosystem structure from the Younger Dryas to Holocene in the Cariaco Basin, Venezuela","Late-glacial climate in the Maritimes Region, Canada, reconstructed from mutual climatic range analysis of fossil Coleoptera","The Younger Dryas cold interval as viewed from central Greenland","Fine-resolution pollen record of late-glacial climate reversal from New Zealand","Climate-induced variations in productivity and planktonic ecosystem structure from the Younger Dryas to Holocene in the Cariaco Basin, Venezuela"
"Late-glacial (Allerod) Coleoptera from Joggins, Lantz and Blomidon, central Nova Scotia, Canada","Late-glacial (Allerød – Younger Dryas) Coleoptera from central Cape Breton Island, Nova Scotia, Canada","Sinkholes in glacial drift underlain by gypsum in Nova Scotia, Canada","Tectonic influence on late Proterozoic Avalonian magmatism: An example from the Greendale Complex, Antigonish Highlands, Nova Scotia, Canada","Compositional diversity among Late Devonian peraluminous granitoid intrusions in the Meguma Zone of Nova Scotia, Canada","Late-glacial (Allerod) Coleoptera from Joggins, Lantz and Blomidon, central Nova Scotia, Canada","Late-glacial (Allerød – Younger Dryas) Coleoptera from central Cape Breton Island, Nova Scotia, Canada","Sinkholes in glacial drift underlain by gypsum in Nova Scotia, Canada","Tectonic influence on late Proterozoic Avalonian magmatism: An example from the Greendale Complex, Antigonish Highlands, Nova Scotia, Canada"
"Historical evidence of land use in a pollen profile from Osoyoos Lake, British Columbia","Glucose 6-phosphate dehydrogenase from brook, lake, and splake trout: An isozymic and immunological study","Contributions to the Quaternary History of the New Zealand Flora","An Error in Logic in Estimating Stream Populations of Premigrant Trout from Stream Survival Rates and Lake Populations","Redeposition of pollen grains in lake sediment","Historical evidence of land use in a pollen profile from Osoyoos Lake, British Columbia","Glucose 6-phosphate dehydrogenase from brook, lake, and splake trout: An isozymic and immunological study","Contributions to the Quaternary History of the New Zealand Flora","An Error in Logic in Estimating Stream Populations of Premigrant Trout from Stream Survival Rates and Lake Populations"
"Holocene development of Boreal forests and fire regimes on the Kenai Lowlands of Alaska","Fire-fuel-climate linkages in the northwestern USA during the Holocene","Holocene Vegetation Dynamics, Fire History, Lake Level and Climate Change in the Kootenay Valley, Southeastern British Columbia, Canada","Holocene fire history from the Greater Blue Mountains World Heritage Area, New South Wales, Australia: the climate, humans and fire nexus","Late Quaternary vegetation, fire and climate dynamics of Serra do Araçatuba in the Atlantic coastal mountains of Paraná State, southern Brazil","Holocene development of Boreal forests and fire regimes on the Kenai Lowlands of Alaska","Fire-fuel-climate linkages in the northwestern USA during the Holocene","Holocene Vegetation Dynamics, Fire History, Lake Level and Climate Change in the Kootenay Valley, Southeastern British Columbia, Canada","Holocene fire history from the Greater Blue Mountains World Heritage Area, New South Wales, Australia: the climate, humans and fire nexus"
"Incongruence of Macrofossil and Pollen Evidence : a Case From the Late Pleistocene of the northern Yukon Coast","Late Pleistocene Transgressive Unit (Biloxi Formation), Northern Gulf Coast: GEOLOGIC NOTES","Paleopathology: Exostoses of the Third Metacarpal in Pleistocene Horses from the Yukon Territory","Sedimentary Processes and Sediments, Babbage River Delta, Yukon Coast","Sediments and Sedimentary Processes, Yukon-Beaufort Sea Coast","Incongruence of Macrofossil and Pollen Evidence : a Case From the Late Pleistocene of the northern Yukon Coast","Late Pleistocene Transgressive Unit (Biloxi Formation), Northern Gulf Coast: GEOLOGIC NOTES","Paleopathology: Exostoses of the Third Metacarpal in Pleistocene Horses from the Yukon Territory","Sedimentary Processes and Sediments, Babbage River Delta, Yukon Coast"
"Late-glacial and Holocene record of vegetation and climate from Cynthia Bay, Lake St Clair, Tasmania","Pollen from Lake Sedmo Rilsko reveals southeast European postglacial vegetation in the highest mountain area of the Balkans","Vegetation and climate change during the Last Interglacial-Glacial cycle in western Tasmania, Australia","A multibeam bathymetric survey of Bay of Islands, Newfoundland: new evidence of late-glacial and Holocene geological processes","Fine-resolution pollen record of late-glacial climate reversal from New Zealand","Late-glacial and Holocene record of vegetation and climate from Cynthia Bay, Lake St Clair, Tasmania","Pollen from Lake Sedmo Rilsko reveals southeast European postglacial vegetation in the highest mountain area of the Balkans","Vegetation and climate change during the Last Interglacial-Glacial cycle in western Tasmania, Australia","A multibeam bathymetric survey of Bay of Islands, Newfoundland: new evidence of late-glacial and Holocene geological processes"
"Late Quaternary inter-till paleosol and biota at Guelph, Ontario"," A Review of: “ Industrial Ergonomics ”. By R. D. G. WEBB. Produced by : The School of Human Biology, University of Guelph, Ontario. Distributed by : The Industrial Accident Prevention Association, Ontario. (IAPA, 1982.) [Pp. 35.] ","Energy balance and ground thermal characteristics during periods of soil freezing at Guelph, Ontario, Canada","Biogeochemical expression of a classic dispersal train of metalliferous till near Hopetown, Ontario","The late Quaternary geology of the Chalk River region, Ontario and Quebec","Late Quaternary inter-till paleosol and biota at Guelph, Ontario"," A Review of: “ Industrial Ergonomics ”. By R. D. G. WEBB. Produced by : The School of Human Biology, University of Guelph, Ontario. Distributed by : The Industrial Accident Prevention Association, Ontario. (IAPA, 1982.) [Pp. 35.] ","Energy balance and ground thermal characteristics during periods of soil freezing at Guelph, Ontario, Canada","Biogeochemical expression of a classic dispersal train of metalliferous till near Hopetown, Ontario"
